id,title,releaseDate,seasonCount,rating,genres,description,duration,tagline,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,created_by,production_companies,director,writer,top_cast
1000358361,Planet Earth: Blue Planet II,2017-10-29,1.0,TV-G,Documentary,"Airing simultaneously on AMC, BBC America, IFC, SundanceTV, and WE tv, the seven-part mini-series takes a look at life in the world's oceans with narration by David Attenborough.",50.0,Take a deep breath,97.0,7,Universal acclaim,82,178,Universal acclaim,,"BBC Natural History Unit (NHU),BBC Studios,BBC Television,British Broadcasting Corporation (BBC),OceanX Media,BBC America,3Sat,3sat Mediathek,3sat,3sat,ARD Mediathek,ARD TV,ARD-alpha,Amazon Instant Video,American Movie Classics (AMC),Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD),BBC One,BBC Worldwide,BBC iPlayer,BR Fernsehen,Bayerischer Rundfunk (BR),Das Erste,Discovery+,Google Play,Hessischer Rundfunk (HR),MDR Fernsehen,MagentaTV,Mitteldeutscher Rundfunk (MDR),NDR Fernsehen,Norddeutscher Rundfunk (NDR),Phoenix,Polyband,Polyband,Polyband,RBB Fernsehen,Rundfunk Berlin-Brandenburg (RBB),SRF 1,SWR Fernsehen,Schweizer Radio und Fernsehen (SRF),ServusTV Deutschland,ServusTV,SundanceTV,Südwestrundfunk (SWR),Videoload,WDR Fernsehen,WEtv,We TV Network,Westdeutscher Rundfunk (WDR),Westdeutscher Rundfunk (WDR),Women's Entertainment Television (WEtv),ZDF Mediathek,hr-fernsehen,iTunes",James Honeyborne,,"David Attenborough,Peter Drost,Roger Munns,Roger Horrocks"
1000359012,America to Me,2018-08-26,1.0,TV-14,Documentary,"The 10-part documentary series from Steve James takes a year-long look at Chicago's Oak Park and River Forest High School as students and staff deal with a variety of issues, including race, at one of the most diverse suburban public high schools in the U.S.",60.0,,96.0,9,Universal acclaim,59,75,Mixed or average,,"Participant,Kartemquin Films,Starz,Starz,Nolo Digital Film","Bing Liu,Kevin Shaw,Steve James,Rebecca Parrish",,"Kendale McCoy,Charles Donalson Jr.,Ke'Shawn Kumsa,Grant Lee,Tiara Oliphant"
1000357720,Planet Earth II,2016-11-06,1.0,TV-G,Documentary,"Narrated by David Attenborough, the sequel to the 2006 nature series features the use of 4K ultra high definition (UHD), aerial drones, and remote recordings to explore the habitats and animals on islands, mountains, jungles, deserts, grasslands and cities.",50.0,A new world revealed,96.0,10,Universal acclaim,92,242,Universal acclaim,,"BBC Natural History Unit (NHU),BBC America,Zweites Deutsches Fernsehen (ZDF),Tencent Pictures,France Télévisions,BBC Studios,BBC America,British Broadcasting Corporation (BBC),Canvas,Evangelische Omroep (EO),France 2 (FR2),HBO Max,NHK,Yleisradio (YLE),Lola Post Production","Justin Anderson,Ed Charles,Elizabeth White,Emma Napper,Chadden Hunter,Fredi Devas",Elizabeth White,"David Attenborough,Chadden Hunter,Gordon Buchanan,Toby Nowlan,Barrie Britton,Emma Napper,Mark MacEwen,Elizabeth White,Sandesh Kadur,Ed Charles,Fredi Devas,Michael J. Sanderson,Max Hug Williams,Pete McCowen,Emma Brennand,Rob Drewett,Thomas Crowley,Jerome Poncet,Jon Griffith,Juarez Sena Feitoza"
1000302375,The Staircase,2004-06,1.0,TV-MA,"Documentary,Crime,Drama","An 8-part documentary series about the celebrated trial of Michael Peterson, a writer who is accused of murdering his wife, executive Kathleen Peterson, who was found dead at the bottom of a staircase in their home.",,Did He Do It?,95.0,9,Universal acclaim,71,62,Generally favorable,,"Maha Productions,ABC News,Docurama,Netflix,Netflix,Netflix,SundanceTV",Jean-Xavier de Lestrade,"Jean-Xavier de Lestrade,Nathalie Sobania","Michael Peterson,David Rudolf,Ron Guerette,Martha Ratliff,Margaret Ratliff,Tom Maher,Bill Peterson,Clayton Peterson,Todd Peterson,Orlando Hudson,Freda Black,Jim Hardin,Arthur Holland,Patricia Peterson,Lori Campbell,Kerry Sutton,Caitlin Atwater,Margie Fargo,David Saacks,Candace Zamperini"
1000366530,The U.S. and the Holocaust,2022-09-18,1.0,TV-14,"Documentary,History","Narrated by Peter Coyote, the three-part documentry series directed by Ken Burns, Lynn Novick and Sarah Botstein examines the United States' response to the rise of Nazism and the Holocaust through interviews, first-person accounts and archival footage.",133.0,,96.0,10,Universal acclaim,53,65,Mixed or average,,"Florentine Films,Public Broadcasting Service (PBS),Public Broadcasting Service (PBS),ARTE Mediathek,ARTE Mediathek,ARTE,ARTE,Yleisradio (YLE),YouTube","Sarah Botstein,Ken Burns,Lynn Novick",Geoffrey C. Ward,"Peter Coyote,Daniel Mendelsohn,Peter Hayes,Deborah Lipstadt,Daniel Greene,Guy Stern,Rebecca Erbelding,Sol Messinger,Nell Irvin Painter,Eva Geiringer,Timothy Snyder,Adam Arkin,Murphy Guyer,Carolyn McCormick,Joe Morton,Matthew Rhys,Susan Hilsenrath,Joseph Hilsenrath,Marlene Jaeger Mendelsohn,Paul Corning"
1000300041,Homicide: Life on the Street,1993-01-31,7.0,TV-14,"Crime,Drama,Mystery,Thriller","This series was the most reality-based police drama that has ever aired on television.  It was shot entirely with handheld cameras on location in the Fells Point Community of Baltimore, MD.  One of the series' executive producers, Barry Levinson, is a Baltimore native.  He has written and directed at least three films that take place in Baltimore: ""Diner"", ""Tin Men"" & ""Avalon"".  Doing this show was a natural for him.

The series was based on a book called ""Homicide: A Year on the Killing Streets,"" by David Simon, a writer who spent a year with the members of Baltimore's homicide unit.  Some of the series' characters and cases were based on the book.

This series was unlike most cop shows of that time, in that there were almost no car chases, gunfights and etc.  This show was about closing cases and the act of the crime was usually never seen.  Generally, the viewer first sees the case when the detective(s) arrive on the scene.  Open cases are kept track of on a board, open cases under the primary detective's name are shown in red ink, when the case is closed the red is replaced by black ink.  During the first season it aired, it didn't have great ratings and the chances for a second season looked bleak.  When Steven Bochco's NYPD Blue premiered in the Fall of '93 and got great ratings, police dramas ""were in"" and the series was given the go-ahead for a second season (the two Emmy Awards probably didn't hurt either).  The better ratings of the second season led to a full third and subsequent seasons.  When the Lifetime cable channel picked the show up for syndication in 1997 it helped guarantee that there would be a fifth season.  Then NBC made it possible for the series to have a sixth and seventh season.

With the great cast, acting, writing, and directing the series has won awards including a few Emmy Awards, Writer's Guild Awards and George Foster Peabody Awards.  Most of these awards were earned by Tom Fontana, one of the series' executive producers, whose other credits include St. Elsewhere.  In the 1995-1996 television season Andre Braugher was finally nominated for Best Actor in a Drama.  While he didn't win that year, two years later in the 1997-1998 television season he was again nominated, this time the Television Academy recognized what we already knew, that Andre Braugher was the best actor working in television drama.

One of the highlights of the series, starting with the second season was the use of music.  All varieties of music have been featured throughout the series, most often it was featured in a montage of the detectives conducting their investigation.

First air date: January 31, 1993
Last air date: May 21, 1999
Original air time: Friday 10:00:00 pm (Eastern)",60.0,,95.0,20,Universal acclaim,83,116,Universal acclaim,Paul Attanasio,"Baltimore Pictures,Fatima Productions,NBC Studios,Reeves Entertainment Group,A&E Home Video,A&E Home Video,A&E Home Video,A&E Home Video,AXN,Fremantle Home Entertainment,Future Film,National Broadcasting Company (NBC),Network DVD,Old Gold Media,Peacock,Peacock,Shout! Factory,Sky,Super Channel,VOX",,"Paul Attanasio,David Simon,Tom Fontana,Darryl Wharton,James Yoshimura,Anya Epstein,Julie Martin,Bonnie Mark,Henry Bromell","Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Isabella Hofmann,Callie Thorne,Toni Lewis,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty,Michelle Forbes,Ralph Tabakin"
1000300815,The Office (UK),2001-07-09,3.0,TV-MA,"Comedy,Drama","""Trust, encouragement, reward, loyalty... satisfaction. That's what I'm..you know. Trust people and they'll be true to you. Treat them greatly, and they will show themselves to be great."" - David Brent. The Office tells a story of a few people working in a British office working hard to not lose their jobs. This hilarious comedy won a Golden Globe award for best comedy series. It was created by Ricky Gervais and Steve Merchant. David Brent (Ricky Gervais) is a manager of low intelligence and has no sense of humor, but is convinced that he is the best, the most entertaining and the most well liked boss of all time.Today the show has been sold in more than 60 countries and it even had a remake in America. The Office is the first non-American show nominated in the category of best television musical or comedy for a Golden Globe Award; and Ricky Gervais was the first non-American actor nominated for the lead role in a television comedy for the same award. The Office won both awards and left Sex and the City & Matt LeBlanc empty handed. When the series aired the first season, they did not even know how popular it would get in some future episodes. The fact that its release on the DVD format proved to be the BBC's best selling comedy release shows its mass popularity and appeal.The writers at the start did not imagine that a second season would be created and after bowing to pressure to create one they would not do it again for a third. The show ended on a high note after two Christmas specials which tied up knots and rounded off wonderfully the first two seasons.Opening Theme Song: ""Handbags and Gladrags"" performed by Fin.WARNING: some episodes contain quotes with strong language.",30.0,The brilliant new comedy on BBC America. [U.S. DVD.],97.0,47,Universal acclaim,82,481,Universal acclaim,,"British Broadcasting Corporation (BBC),Adult Swim,British Broadcasting Corporation (BBC),British Broadcasting Corporation (BBC),2 Entertain Video,2 Entertain Video,2 Entertain Video,2 Entertain Video,2 Entertain Video,Australian Broadcasting Corporation (ABC),BBC America,BBC Canada,BBC Video,BBC Video,Canvas,Comedy Central,Comedy Central,Duna Televízió,ETV (Eesti Televisioon),Ertflix,HBO Max,ITVX,Magyar Televízió,Nederlandse Programma Stichting (NPS),Polyband,Prooptiki Video,Star World,TVNZ,The Comedy Network,Topic,WOWOW,Warner Home Video,Warner Home Video,Warner Vision France","Ricky Gervais,Stephen Merchant","Ricky Gervais,Stephen Merchant","Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Ralph Ineson,Stirling Gallacher,Oliver Chris,Stacey Roca"
1000300098,The Larry Sanders Show,1992-08-15,6.0,TV-MA,Comedy,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show.  Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",30.0,,95.0,69,Universal acclaim,61,220,Generally favorable,"Dennis Klein,Garry Shandling","Brillstein-Grey Entertainment,Columbia Pictures Television,Home Box Office (HBO),Partners with Boundaries,Home Box Office (HBO),BBC Two,HBO Max,Independent Film Channel (IFC),Mega Channel,Mill Creek Entertainment,Mill Creek Entertainment,Shout! Factory,Shout! Factory",Todd Holland,"Dennis Klein,Garry Shandling,Peter Tolan,Paul Simms,Maya Forbes","Garry Shandling,Jeffrey Tambor,Wallace Langham,Rip Torn,Penny Johnson Jerald,Janeane Garofalo,Linda Doucett,Sid Newman,Scott Thompson,Jeremy Piven,Kathryn Harrold,Mary Lynn Rajskub,Megan Gallagher,Bob Odenkirk,Deborah May,John Riggi,Doug Ballard,Jon Stewart,David Paymer,Bruno Kirby"
1000357277,O.J.: Made in America,2016-05-20,,TV-MA,"Documentary,Biography,Crime,History,Sport","The seven-and-a-half-hour documentary chronicles O.J. Simpson's rise from the San Francisco housing projects to football fame in college and the NFL to his post-football career and infamy with the 1995 trial for the killings of his ex-wife, Nicole, and Ron Goldman. The first episode will air on ABC with the subsequent four episodes airing only on ESPN.",467.0,,96.0,21,Universal acclaim,71,44,Generally favorable,,"ESPN Films,Laylow Films,ESPN Films,ESPN Films,ESPN (Entertainment & Sports Programming Network),Walt Disney Studios Motion Pictures,BBC Four,British Broadcasting Corporation (BBC),Canvas,Disney+,Disney+,Disney+,Viceland,Viceland,Vrijzinnig Protestantse Radio Omroep (VPRO)",Ezra Edelman,,"Willie Brown,Harry Edwards,John McKay,Harry Alfred Khasigian,Steve Lehmer,Jeffrey Toobin,Danny Bakewell,Walter Mosley,Dwight Tucker,David Gascon,Bernard Parks,Jim Newton,Carl Douglas,Mark Ridley Thomas,Joe Saltzman,Joe Bell,Jim Brown,Robert Lipsyte,David Lockton,O.J. Simpson"
1000300153,The Sopranos,1999-01-10,6.0,TV-MA,"Crime,Drama","Meet Tony Soprano: your average, middle-aged businessman. Tony's got a dutiful wife. A not-so-dutiful son. A daughter named Meadow. An uncle who's losing his marbles. A hot-headed nephew. A not-too-secret mistress. And a shrink to tell all his secrets, except the one she already knows:
Tony's a mob boss whose troubles are wrapped up in his two families. These days, it's getting tougher and tougher to make a killing in the killing business. Just because you're 'made' doesn't mean you've got it made.",55.0,"Made in America. (season 6, part 2)",94.0,93,Universal acclaim,93,2232,Universal acclaim,David Chase,"Home Box Office (HBO),Brad Grey Television,Brillstein Entertainment Partners,Chase Films,The Park Entertainment,Home Box Office (HBO),E4,The Movie Network (TMN),Channel 4 Television Corporation,Home Box Office Home Video (HBO),Nine Network Australia,More4,Warner Home Video,Telelatino,24TV,A+E Networks,Amazon Instant Video,Amediateka,Arena,British Sky Broadcasting (BSkyB),CNBC-e,CTV Television Network,Club RTL,DiziMax,ETV (Eesti Televisioon),Fox Channel,Google Play,HBO 3,HBO Max,Home Box Office Home Video (HBO),IVI,KINO1TV,KION,Kabel Eins,MagentaTV,Maxdome Store,Maxdome,NTV-PLUS Online TV,Net5,OKKO,ORF 1,ORF Eins,Premiere HD,Premiere Serie,Premiere Serie,Premiere Start,Premiere Start,RTL Klub Televízió,Rakuten TV,SRF 1,SRF zwei,Schweizer Radio und Fernsehen (SRF),Sky Atlantic +1,Sky Atlantic HD,Sky Go,Sky Serien & Shows,Sky Ticket,Supercanal,Verenigde Arbeiders Radio Amateurs (VARA),Videoload,WINK,WOW,WOWOW,Warner Home Video,Warner Home Video,Warner Home Vídeo,Zweites Deutsches Fernsehen (ZDF),iTunes,Österreichischer Rundfunk (ORF),CBS Digital",Timothy Van Patten,"David Chase,Terence Winter,Robin Green,Mitchell Burgess","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Dominic Chianese,Steven Van Zandt,Tony Sirico,Robert Iler,Jamie-Lynn Sigler,Aida Turturro,Drea de Matteo,Steve Schirripa,Dan Grimaldi,Joseph R. Gannascoli,John Ventimiglia,Sharon Angela,Vincent Curatola,Frank Vincent,Vincent Pastore,Federico Castelluccio"
