show_id,title,releaseDate,seasonCount,rating,description,duration,tagline,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,seasonCount_was_null
1000358361,Planet Earth: Blue Planet II,2017-10-29,1.0,TV-G,"Airing simultaneously on AMC, BBC America, IFC, SundanceTV, and WE tv, the seven-part mini-series takes a look at life in the world's oceans with narration by David Attenborough.",50.0,Take a deep breath,97.0,7,Universal acclaim,82,178,Universal acclaim,False
1000359012,America to Me,2018-08-26,1.0,TV-14,"The 10-part documentary series from Steve James takes a year-long look at Chicago's Oak Park and River Forest High School as students and staff deal with a variety of issues, including race, at one of the most diverse suburban public high schools in the U.S.",60.0,,96.0,9,Universal acclaim,59,75,Mixed or average,False
1000357720,Planet Earth II,2016-11-06,1.0,TV-G,"Narrated by David Attenborough, the sequel to the 2006 nature series features the use of 4K ultra high definition (UHD), aerial drones, and remote recordings to explore the habitats and animals on islands, mountains, jungles, deserts, grasslands and cities.",50.0,A new world revealed,96.0,10,Universal acclaim,92,242,Universal acclaim,False
1000302375,The Staircase,2004-06-01,1.0,TV-MA,"An 8-part documentary series about the celebrated trial of Michael Peterson, a writer who is accused of murdering his wife, executive Kathleen Peterson, who was found dead at the bottom of a staircase in their home.",,Did He Do It?,95.0,9,Universal acclaim,71,62,Generally favorable,False
1000366530,The U.S. and the Holocaust,2022-09-18,1.0,TV-14,"Narrated by Peter Coyote, the three-part documentry series directed by Ken Burns, Lynn Novick and Sarah Botstein examines the United States' response to the rise of Nazism and the Holocaust through interviews, first-person accounts and archival footage.",133.0,,96.0,10,Universal acclaim,53,65,Mixed or average,False
1000300041,Homicide: Life on the Street,1993-01-31,7.0,TV-14,"This series was the most reality-based police drama that has ever aired on television.  It was shot entirely with handheld cameras on location in the Fells Point Community of Baltimore, MD.  One of the series' executive producers, Barry Levinson, is a Baltimore native.  He has written and directed at least three films that take place in Baltimore: ""Diner"", ""Tin Men"" & ""Avalon"".  Doing this show was a natural for him.

The series was based on a book called ""Homicide: A Year on the Killing Streets,"" by David Simon, a writer who spent a year with the members of Baltimore's homicide unit.  Some of the series' characters and cases were based on the book.

This series was unlike most cop shows of that time, in that there were almost no car chases, gunfights and etc.  This show was about closing cases and the act of the crime was usually never seen.  Generally, the viewer first sees the case when the detective(s) arrive on the scene.  Open cases are kept track of on a board, open cases under the primary detective's name are shown in red ink, when the case is closed the red is replaced by black ink.  During the first season it aired, it didn't have great ratings and the chances for a second season looked bleak.  When Steven Bochco's NYPD Blue premiered in the Fall of '93 and got great ratings, police dramas ""were in"" and the series was given the go-ahead for a second season (the two Emmy Awards probably didn't hurt either).  The better ratings of the second season led to a full third and subsequent seasons.  When the Lifetime cable channel picked the show up for syndication in 1997 it helped guarantee that there would be a fifth season.  Then NBC made it possible for the series to have a sixth and seventh season.

With the great cast, acting, writing, and directing the series has won awards including a few Emmy Awards, Writer's Guild Awards and George Foster Peabody Awards.  Most of these awards were earned by Tom Fontana, one of the series' executive producers, whose other credits include St. Elsewhere.  In the 1995-1996 television season Andre Braugher was finally nominated for Best Actor in a Drama.  While he didn't win that year, two years later in the 1997-1998 television season he was again nominated, this time the Television Academy recognized what we already knew, that Andre Braugher was the best actor working in television drama.

One of the highlights of the series, starting with the second season was the use of music.  All varieties of music have been featured throughout the series, most often it was featured in a montage of the detectives conducting their investigation.

First air date: January 31, 1993
Last air date: May 21, 1999
Original air time: Friday 10:00:00 pm (Eastern)",60.0,,95.0,20,Universal acclaim,83,116,Universal acclaim,False
1000300815,The Office (UK),2001-07-09,3.0,TV-MA,"""Trust, encouragement, reward, loyalty... satisfaction. That's what I'm..you know. Trust people and they'll be true to you. Treat them greatly, and they will show themselves to be great."" - David Brent. The Office tells a story of a few people working in a British office working hard to not lose their jobs. This hilarious comedy won a Golden Globe award for best comedy series. It was created by Ricky Gervais and Steve Merchant. David Brent (Ricky Gervais) is a manager of low intelligence and has no sense of humor, but is convinced that he is the best, the most entertaining and the most well liked boss of all time.Today the show has been sold in more than 60 countries and it even had a remake in America. The Office is the first non-American show nominated in the category of best television musical or comedy for a Golden Globe Award; and Ricky Gervais was the first non-American actor nominated for the lead role in a television comedy for the same award. The Office won both awards and left Sex and the City & Matt LeBlanc empty handed. When the series aired the first season, they did not even know how popular it would get in some future episodes. The fact that its release on the DVD format proved to be the BBC's best selling comedy release shows its mass popularity and appeal.The writers at the start did not imagine that a second season would be created and after bowing to pressure to create one they would not do it again for a third. The show ended on a high note after two Christmas specials which tied up knots and rounded off wonderfully the first two seasons.Opening Theme Song: ""Handbags and Gladrags"" performed by Fin.WARNING: some episodes contain quotes with strong language.",30.0,The brilliant new comedy on BBC America. [U.S. DVD.],97.0,47,Universal acclaim,82,481,Universal acclaim,False
1000300098,The Larry Sanders Show,1992-08-15,6.0,TV-MA,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show.  Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",30.0,,95.0,69,Universal acclaim,61,220,Generally favorable,False
1000357277,O.J.: Made in America,2016-05-20,1.0,TV-MA,"The seven-and-a-half-hour documentary chronicles O.J. Simpson's rise from the San Francisco housing projects to football fame in college and the NFL to his post-football career and infamy with the 1995 trial for the killings of his ex-wife, Nicole, and Ron Goldman. The first episode will air on ABC with the subsequent four episodes airing only on ESPN.",467.0,,96.0,21,Universal acclaim,71,44,Generally favorable,True
1000300153,The Sopranos,1999-01-10,6.0,TV-MA,"Meet Tony Soprano: your average, middle-aged businessman. Tony's got a dutiful wife. A not-so-dutiful son. A daughter named Meadow. An uncle who's losing his marbles. A hot-headed nephew. A not-too-secret mistress. And a shrink to tell all his secrets, except the one she already knows:
Tony's a mob boss whose troubles are wrapped up in his two families. These days, it's getting tougher and tougher to make a killing in the killing business. Just because you're 'made' doesn't mean you've got it made.",55.0,"Made in America. (season 6, part 2)",94.0,93,Universal acclaim,93,2232,Universal acclaim,False
